"latest_browse","Latest visit"
"remember_password","Remember Pass"
"your_last_login","Last Login"
"you_can","You can "
"click_here_to_try_again","Click here to try again"
"revisit_this_page","revisit this page. "
"report_the_issue_to","report this issue"
"administrator","administrator"
"visit_again_soon","visit again"
"this_page","the content of this page"
"search_result_paging","Search <b>%s</b> of about <b>%d</b> be the result, the following is the first <b>%d-%d</b> section. (with time <b>%s</b> seconds)"
"hide_or_show_option","Hide/Show options"
"user_login","User Login"
"login_and_see_more","sign in to see more"
"online_ads","online advertising"
"service_entrance","Entrance"
"main_city","main cities"
"main_industry","major industry"
"expand_or_no","Collapse/Expand"
"industry_category","Category"
"area_category","area classification"
"invest_info","Join information"
"area_invest_info","over investment"
"brand_zone","Brand Zone"
"hot_invest_project","hot item"
"no_search_result_for_you","no search <em>%s</em> results. <br> Please re-enter the correct keyword search."
"law_statement","<strong> Disclaimer: </strong>%site_name% site presents information provided by the members themselves, members provided according to the law should take full responsibility for any information, this website assumes no responsibility. investment risk transactions need to be cautious, to protect your interests in the transaction before you see the other three cards in order to ensure the safety of your transactions! If it is found incorrect or false information, Please click here to contact the site, the site will be promptly dealt with accordingly. "
"wholesale_price","Wholesale price: "post_wholesale_info","Post wholesale information"
"back_portal","Portal"
"similar_search","Search"
"set_home_page","Home"
"add_favorite","Favorite"
"advanced_search","Advanced Search"
"success_case","success stories"
"copyright","Copyright"
"service_email","Customer Service Email"
"membership_links","Membership"
"new_products","Product"
"full_the_data","This information does not have any description, <a href='redirect.php?url=/virtual-office/brand.php' target='_blank'> hasten to add? ...</A>"
"after_free_reg","Join Free And:"
"free","free"
"register","sign in"
"pls_reset_passwd","Please reset your password"
"been_expired","expired"
"comments_and_suggestions","views and recommendations"
"board","Announcements"
"build_your_site","Build site"
"post_offer_trade","Post trades"
"spread_your_products","Post products"
"meet_more_friends","Business"
"hots","hot"
"hot_fair","Hot Show"
"hot_product","Hot Products"
"hot_news","hot news"
"welcome_your_idea_or_advise","Welcome to our website and services for their valuable comments or suggestions:"
"idea_or_advise","advice or recommendations"
"site_news","Site news"
"investment","Join"
"industry_brand","World brands"
"apply_industry_brand","I want to list"
"select_industry_and_post","Select a category, business opportunities for submit"
"newest_company","Enterprise"
"post_now","immediately publish their own information"
"newest_sell","Latest Selling"
"newest_buy","Latest Buying"
"newest_resume","Latest resume"
"visit_phpb2b_official_site","immediate access to the PHPB2B Technology Forum, and many more people use the skills PB"
"service_license","Service Terms"
"customer_service_center","customer service center"
"my_office_room","My business room"
"customer_service","Service"
"free_post","Free post"
"hello_welcome_to","Hello, Welcome to %s"
"pls_login","Please login"
"search_product","Products"
"search_company","Company"
"search_offer","Trades"
"search_news","Info"
"basic_info","Basic Information"
"offer_info","Supply"
"browse_big_picture","browse big picture"
"activex_not_support","Your browser does not support the component"
"download_latest_flash_x","to download the latest player component"
"download_attach","download attachment"
"download_article","Download this article"
"adv_search","Advanced Search"
"agreement","Use Agreement"
"sub_special","topic"
"sub_industry","industry sub-station"
"sub_area","area sub-station"
"sub_station","sub-station"
"sub_default_desc","you are browsing the %s. this site in order based on the enterprise, market-oriented, guiding development of the industry, and guide for the purpose of consumption, through a powerful, flexible system of modules and good scalability, the full support of enterprise network marketing , image advertising, e-commerce, enterprise information portal and mobile commerce applications, to some extent to meet the small and medium conventional site building, e-commerce site building and construction of personalized information display platform changing needs. "
"about_us","About Us"
"forgot_login_name","Forgot your login name?"
"email_incorrectly_not_send","Email address is wrong, can not send!"
"email_format_error_not_send","message format error, can not be sent!"
"login_name_exist_send_failed","login name does not exist, send failed!"
"ualink_e_commerce","Ualink E-Commerce"
"enlarge_image","enlarge"
"publish_time","Date:"
"released_by_personnal","The information released to individual members"
"member_type","Membership Type:"
"reputation_index","Reputation Index"
"reputation_index_n","Reputation Index:"
"authentication_type","Authentication Type:"
"details","details"
"to_inquiry","I want to inquiry"
"to_edit","I want to edit"
"views","View:"
"members_view","Contact Member after landing site up to see"
"register_site_member","If you are the registered member, please"
"not_register_site_member","site if you are not a registered member, please"
"registered_site_member","become a registered member of this site."
"add_information_release","Other information released by the Member"
"product_category","Products"
"category_topics","Classification of topic"
"maybe_browse_categories","You may also visit the following categories:"
"recommended","New Products"
"nventory","Product Library"
"fill_inquiry_information","fill in the information inquiry"
"inquiry_successful","Inquiry successful"
"inquiry_steps","Inquiry steps:"
"receiver","receiver:"
"inquiry_content","Inquiry content:"
"message_the_title","I want to shout the title:"
"additional_information","Additional information:"
"my_contacts","my contact:"
"name","Name:"
"inquiry","I want to inquiry"
"products_picture","product image"
"supply_information_company","Supply of information/Company"
"online_contact","online contact"
"abstract","[Abstract]"
"publisher","Publisher"
"station_message","Site Comments"
"send_message","Send Message"
"recommended_company","Recommended Company"
"buy","buy"
"supply","supply"
"inventory","inventory"
"merchants","investment"
"join","join"
"cooperation","cooperation"
"agent","agents"
"wholesale","wholesale"
"important_channel","major channel"
"recommend_company_database","recommended the company database"
"professional_market","professional market"
"quick_navigation","Quick Navigation"
"release_supply_offer","Free Post Trade"
"client_terms_Service","Customer Service Terms"
"web_login_pact","Site Registration Agreement"
"all_sub_stations","all sub-station"
"recommended_supply_demand","Recommended supply and demand"
"give_us_a_message","Leave us a message:"
"warm_reminder","Reminder"
"service_hotline","Customer service hotline:"
"reply_submit_issue","Dear user: For you to submit comments or suggestions, we would, within three working days in the reply to you, please refer to your mailbox and read the message content."
"valid_time","valid time:"
"product_title","Product Title"
"offer_title","supply and demand of the title:"
"add_company","Join the Enterprise Library"
"hotline","Hotline:"
"new_recommended_company","latest recommended enterprise"
"find_marketing_company","<em> allow more businesses to easily find you! So what? </em> <br /> the first step to internet marketing, with a sincere heart to win the trust of customers, investment Chinese domain name to protect the national brand clients trust, investment Chinese domain name "
"join_company","New Companies"
"add_yellow_page","join the enterprise Filmography"
"logon_deal","Sign up now to win online trading"
"release_product","Published Products"
"promotion_company","promote business"
"add_time","Company/accession date"
"location","location"
"integrity_index","Integrity Index"
"guestbook","Give me a shout"
"mainly_products","Main:"
"industry_view_company","by %s View company"
"area_view_company","by %s View company"
"fair_introduction","Info:"
"fair_content","Show the contents:"
"fair_time","Show time:"
"address","Location:"
"fair_size","show the scale:"
"organizer","Host:"
"sponsor","Host:"
"support","supported:"
"co_organizer","co:"
"notes","Notes:"
"fair_enter_name","Show Registration"
"fair_business","show exhibitors"
"enter_name_fair","I registered for the exhibition"
"find_fair","find event"
"new_fair","New expo"
"detail","more>> "
"recommended_fair","Recommended Show"
"fair_details","Show Info"
"area_choose","selected by %s"
"sort_choose","Select by category"
"hr_information","jobs"
"hr_jobs","Job"
"hr_company","recruiters"
"jobs_area","Location:"
"jobs_area_n","workplace"
"post_time","Date:"
"post_time_n","Publish Time"
"new_hr","New Job"
"hot_area","hot areas"
"jobs_search","Job Search"
"salary","Salary:"
"free_reg","Become a member"
"free_reg_member","Sign up"
"local_sitename","site name:"
"local_siteurl","Site address:"
"local_sitelogo","web site logo image:"
"local_logourl","logo Address:"
"contact_mail","Contact E-mail"
"add_details","complete information"
"main_prod","Main products or services"
"main_prod_n","Main products or services:"
"your_site_name","Guizhan name:"
"your_site_address","Guizhan Address:"
"your_site_logo","Guizhan logo Address:"
"your_site_description","Guizhan description:"
"add_details_link","link at the same time, please do apply for a link to this site"
"if_forget_password_pls_reset","<p> If you forget your password: </p> <p> 1, via Email back </p><p> 2, contact our customer service </p>"
"reset_your_password","re-set your password"
"times","times"
"re_enter_new_password","Re-enter new password"
"enter_new_password_again","re-enter the new password you want to set"
"enter_correct_password","Please enter the correct password"
"enter_password_different","before and after the password is inconsistent"
"enter_valid_password","Please enter a password between 6-20 characters"
"next_get_password","Next, retrieve the password"
"your_ongoing_operations","your ongoing operations, needs "
"member_login","is already a member, log in here"
"forget_password","Forgot your password?"
"code","Code:"
"refresh_code","Click image to refresh verification code"
"unclear_see_numbers","If you can not see numbers or letters? tap-for-one!"
"questions_service_hotline","If you have any questions, please contact customer service hotline:"
"free_register","is not a member, in this free registration"
"products_show","Products"
"illustrated_display_product","illustrated display product information, so that buyers take the initiative to find you!"
"online_business","Online Business"
"internet_power_promotion","name of the world in one fell swoop strong promotion of the Internet!"
"talents_join","display of corporate power, to attract more people to join!"
"agent_join","Agent"
"development_agent_join","Agent and franchisee requirements, develop their own franchisees."
"company_news","Company News"
"display_company_news","display business trends, highlights corporate culture!"
"classifieds","Classifieds"
"free_classifieds","the most effective free advertising! all-round increase exposure!"
"add_market","Add Market Library"
"added_market_info","library information to market"
"recommended_market","Recommended"
"added_market","Market library"
"market_info","Market Library Information"
"market_name","Market Name:"
"market_name_n","marketing name"
"market_introduction","Market introduction:"
"submit_market","library information submitted to the market"
"input_market_name","Please enter a market name"
"news_market","New Market Library Information"
"quote_center","market center"
"latest_price","latest offer"
"nominate_market","Recommended market"
"search_more_market","Search more professional market"
"regional_sub_station","stations around the distinction between"
"i_would_join","I want to join"
"new_add_market","the latest entry into the market"
"new_added","latest addition"
"new_offer","New supply and demand"
"introduction","Description:"
"industry_recommended","the industry recommended"
"area_recommended","area recommended"
"not_exist_market","If you confirm your market does not exist,"
"click_us","please click to tell us."
"select_buy_service","Please select the services you want to buy"
"member_upgrade","Membership"
"commercial_service","Membership Upgrade"
"add_charge","top up"
"buy_advertising","buy advertising"
"applicant_name","Name of Applicant:"
"buyer_name","Username:"
"adzone_type","type of advertising:"
"charge_value","recharge amount:"
"applicant_name_conditions","(4-20 characters (AZ, az, 0-9, underscore)"
"applicant_type","application service type:"
"modify","modified"
"select_pay_method","Please select payment method:"
"description","Description:"
"next_step","Next"
"online_pay","online payment"
"correct_operation","Please correct operation in accordance with option"
"confirm_pay_amount","Please carefully confirm that you want to pay, payment is successful, the funds will be directly credited to your site account in this system, Please pay attention to your balance. If you are doing transactions, make sure the amount you pay not less than the amount of your transaction. "
"pay_amount","amount paid:"
"pay_description","Payment instructions:"
"next_pay_amount","Next, the online payment"
"reg_success","registered successfully"
"welcome_join","welcome you to join"
"you_continue_next","You can continue to do the following, or"
"into_office_room","into the business room"
"back_index","Back Home"
"complete_pro_date","1, improving the personal information:"
"need_complete_pro_date","published supply and demand information, to submit product information, need to have perfect personal contact information,"
"click_here_add","Click here to add"
"added_comany_info","2, additional business information:"
"open_company_website","open business website with recruiting, exchange links, please"
"click_perfect","Click here to improve enterprise information"
"now_you_are","You now:"
"member_reg","Register"
"member_login_name","Member Login Name:"
"member_login_name_conditions","5-20 characters (AZ, az, 0-9, underscore)"
"email_conditions","very important! This is the client and the preferred way to contact you and confirm your most frequently used e-mail."
"password_conditions","6-20 bit, not with the same user name; recommendations letters (az) and numbers (0-9) combined."
"re_enter_password","Re-enter password:"
"re_enter_up_password","Please enter the above fill in your password again."
"input_code","Enter the verification code."
"see_agree","I have read and agree to "<a href="javascript:;" id="SeeAgreement">Site Terms of Service</a>""
"choose_reg_type","select up type"
"choose_reg_type_conditions","Please select your type of membership registration in order to make potential business partners, access to business opportunity!"
"personal_member","Individual Member"
"personal_member_intro","You can supply the information published in this site for free, buy information."
"enterprise_member","Corporate Member"
"enterprise_member_intro","You can have your own business Web site; <br /> You can create your own portfolio of products enterprises album; <br /> you are free to job information."
"adv_member_reg","Advanced Membership Application."
"adv_member_fill","Please complete the form below, and our staff have received your order will contact you the first time, if registration questions, please contact us:"
"adv_member_name","application name"
"adv_member_name_conditions","(4-20 characters ,AZ, az, 0-9, underscore)"
"application_service_type","application service type"
"close_widow","close window"
"print_page","Print"
"related_info","relevant information"
"industry_info","Industry News"
"category_nav","Classification of navigation"
"latest_news","Latest News"
"industry_focus","Industry Focus"
"synthesis_info","General Information"
"hot_info_top","Top News Top"
"effective_date","validity:"
"free_release_offer","free release of information supply and demand"
"i_not_member","I'm not a member"
"join_now","Sign up"
"base_info","basic content"
"post_offer_steps","published business steps:"
"write_base_info","fill in the basic information"
"write_contact","fill in Contact"
"release_complete","release complete"
"within_sixteen_words","(16 words or less)"
"offer_direction","demand and supply direction"
"info_title","Message Title"
"expire_date","valid"
"not_must_content","optional content"
"product_description","1, we recommend that you described in the following areas: product performance and benefits, use, service, and packaging."
"product_description_using_image","2, in order to avoid unnecessary disputes, use the original image;"
"contact_address","Address:"
"immediate_release","Submit"
"tags_more","(multiple labels separated by spaces)"
"content_required",""<span class="star"> * </span>" Content is required"
"contact_required","This is the client and the preferred way to contact you, be sure to fill in the real."
"inner_business_name","Chinese national registered companies, please fill in the registration of Trade and Industry Bureau name, such as:"
"no_company_should_name","No firm license individual operators to fill in name, and marked self. such as: John Doe (self)"
"preferred_tel","Preferred Contact Phone"
"number","number:"
"preferred_im","preferred instant messaging"
"all_sort","All Categories"
"all_area","all areas"
"search_result","Search Results"
"search_in_keyword","keyword search:%s"
"area","Region:"
"area_n","Location"
"email","E-mail:"
"keyword","Keywords:"
"nick_name","Username:"
"get_password","retrieve password"
"new_password","new password:"
"reset_password","reset the password:"
"set_new_password","Enter the new password you want to set:"
"re_enter_new_password_n","Re-enter new password:"
"send_password_email_next","The next step, sending the password mail"
"user_authentication","User Authentication:"
"contact","Contact:"
"login","login"
"screening","Filter"
"industry_screening","Filter by industry:"
"sort_screening","Filter by Category:"
"fast_screening","Rapid screening of:"
"belong_industry","Industry:"
"telephone","Phone:"
"no_subclass","no subcategories under the category"
"login_your_account","your login ID"
"input_name_password","Please enter your Member ID and password:"
"input_info_reset_password","Please enter the necessary information to help you reset your password:"
"submit_reset_password","submit to reset the password"
"login_name","your login name:"
"issue_contact","if registration questions, please contact us:"
"contact_us","Contact Us"
"fill_reg_info","fill in the basic information"
"today_is","Today"
"stored_product","stock of goods"
"offer_introduction","<li> free promotional products </li><li>free publicity for the company </li><li> find buyers information </li><li> make business partners </li>"
"reg_and_upgrade_vip","want to conduct online trade, improve sales? <br /> recommend that you select the Gold Membership: <br /> <br />"
"free_post_tip","If you are already a %site_name% registered members can log in to post buying leads to achieve buy you post the information <span style='color:red'> modify, send, delete </span>, etc. Operation. "
"enter_the_words_in_pic","enter the picture to see the characters"
"enter_correct_username_pls","Please enter the correct user name"
"enter_password_pls","Please enter your password"
"enter_email_pls","Please enter Email Address"
"check_failed","Authentication failed"
"search_amount","search statistics"
"search_by_category","Search by category"
"similar_news","information"
"similars","related"
"news_membertype_not_allowed","a member of your group is not allowed to view the information"
"executed_times","this query %s seconds were spent"
"search_result_n","Query results:"
"refer_info","References:"
"refer_content","Interpretation:"
"word_name","entry name"
"hot_words","Hot words"
"latest_words","new entry"
"similar_words","Related Entries"
"dict_digest","Dictionary Introduction"
"dict_digest_content","In order to solve the industry in the access information in the translation of the language barrier problem,%site_name% work after a period of consolidation, the introduction of specialized dictionaries application sub-stations, we hope to work for the greater convenience, and constantly improve the industry dictionary, contribute to the development for the industry. "
"no_time_limit","all the time range"
"least_three_days","nearly three days"
"least_ten_days","nearly 10 days"
"least_thirty_days","nearly 30 days"
"account_n_email_n_mobile","login name/e-mail"
"to_price","I want to offer"
"how_bump_to_top","How top?"
"focus_user_service","To create satisfied with the service"
"service_for_your_internet","Provide you with Internet services"
"linked_product_price","The Product Price"
"brands_with_letter","%s start with the letter of the brand"
"other_brands","other brands"
"similar_brands","similar brand"
"problems","problem"
"answers","response"
"status","state"
"reply_time","response time"
"force_time","issued by Time"
"answered","Answered"
"no_answer","no response"
"answer_content","answer contents"
"latest_tips","new prompt"
"click_and_preview","Click"
"service_client","Customer Service Agreement"
"latest_new","latest"
"latest_hot","hottest"
"area_prices","quotes around"
"sort_by_pinyin","Pinyin Index:"
"sort_by_alpha","Alphabetical Index:"
"all_product_categories","All Products"
"similar_product","related products"
"visit","Access"
"av_price","average"
"service_type","feedback type"
"redirect_title","page not found"
"no_brand_and_add","This category does not have any brand of information, whether <a href="virtual-office/brand.php?do=edit"> Add it now ...</a>"
"the_title","title:"
"title","Title"
"your_name","Your name:"
"your_email","Your Email:"
"added_content","add content:"
"latest_search","Hot keword:"
"quote_search","Combination"
"open_in_new_window","Open in new window"
"set_your_style","Configure your favorite color:"
"months","January, February, March, April, May, June, July, August, September, October, November, December"
"stat_charts","Statistics"
"quote_stat_charts","Price Tables"
"max_price","High:"
"low_price","Low:"
"update_time","Update:"
"visit_full_content","s"
"visited","Visits"
"puglish_time","Published"
"this_month","Month"
"this_week","This Week"
"today_hours","last 24 hours"
"strip_announce","<strong> Disclaimer: </strong>%company_name% %site_name% on all of the information published does not represent or guarantee the accuracy or reliability of its content; you agree to be judged on its own, and bear all risks % company_name% right, but without any obligation, to improve or correct the information published in any part of the error or omission. "
"company_direct","Direct"
