"admingroup","管理组"
"credit_index_criteria","信用指数标准："
"system_built","系统内置"
"third_party_organization_and_code","第三方机构及代码"
"available_parameters","可用参数：%companyname%表示公司名称；%username%表示用户名；%userid%表示用户编号"
"the_user_must_already_exist","该用户必须已经存在"
"expired_that_can_not_log_back","过期后，即不能登录后台"
"menu_display","菜单显示"
"designated_authority","指定权限"
"the_super_administrator_has_all_privileges","无论如何指定，超级管理员均有所有权限"
"display_objects","展示对象"
"does_not_appear_in_its_advertising_space_and_advertising","如果非选中项，则在其空间内不会显示广告位及广告，排除的标签参数为：groupid"
"pattern","样式"
"flash_image_rotation","flash图片轮换"
"code","代码"
"site_built","站内"
"site_external","站外"
"last_backup_time","上次备份时间："
"submit_and_tips","是否确认提交？提交后将覆盖现有语言文件"
"backup_type","备份类型："
"backup_file_type","文件类型："
"multi_volume","分卷"
"single_volume","不分卷"
"all_site_data_backup","备份网站全部数据"
"notes","注意事项"
"backup_now","立即备份"
"on_backup_ing","备份中..."
"link_address","链接地址"
"data_has_been_copied_to_the_clipboard","数据已经复制到剪贴板"
"clear_now","立即清理"
"please_wait","请稍候..."
"album_category","相册分类"
"album","相册"
"title_display","显示的标题"
"applicable_membership_type","适用会员类型："
"membership_type","会员类型"
"applicable_member_group","适用会员组："
"default_setting","默认设置"
"remove","清除"
"empty","清空"
"executive","执行"
"please_paste_in_the_right_side_of_the_sql_statement","请将SQL语句粘贴在右侧："
"upload_and_restore_database","请将文件上传到备份目录<strong>/data/backup_%s</strong>进行还原。"
"file_name","文件名"
"backup_time","备份时间"
"file_size","文件大小"
"file","文件"
"this_action_can_not_be_restored","还原文件%s
本操作不可恢复，确认继续吗"
"top_categories","顶级分类"
"parent_categories","上级分类"
"title_keyword","名称关键字："
"is_empty_or_zero_never_expires","为空或0表示永不过期"
"add_more_than_one_line_on_behalf_of_a_record","可以添加多个，一行代表一条记录"
"top_category_name_not_support_special_sign","一级分类名称不要有符号出现"
"category_name","分类名称"
"add_method","添加方式："
"add_one_by_one","逐个添加"
"copy_from_the_industry_classification","从行业分类复制"
"enterprise_direct_keyword","企业直达关键字"
"must_setting_first","如：www.phpb2b.com，必须先做好相关<a href='setting.php?do=functions'>设置</a>及解析"
"image_format_support","（支持格式GIF,JPG,JPEG,PNG）"
"optimization_of_the_name","优化名称"
"if_choose_not_disorders_may_lead_to","如果选择不覆盖，那么可能会引起分类紊乱"
"overcast","覆盖"
"file_checksum","文件校验"
"check_that_the_file","文件校验是针对%s官方发布的文件为基础进行核对，点击下面按钮开始进行校验。"
"start_check","开始校验"
"last_modified","最后修改时间"
"pushed_to_the_news","推送到行业资讯"
"digest","摘要"
"currently_supports_two_categories","目前支持二级分类"
"bold","加粗"
"italic","斜体"
"underline","下划线"
"automatically_generated","自动生成"
"grade","级别"
"system_tools","系统工具"
"position_classification","职位分类"
"job","职位"
"invalid","无效"
"effective","有效"
"the_industry","所在行业"
"the_city","所在城市"
"date_and_time","日期和时间"
"if_you_changed","如果你修改了某个类型的编号，可能会引起已有供求数据的错误。"
"send","发送"
"collection","采集"
"permissions","权限"
"per_day","每天最多"
"search_station_outside","站外搜索"
"pay_method","支付方式"
"revert","回复"
"switch_the_shelf","上/下架"
"support","支持"
"online_payment","在线支付"
"logs","日志"
"business_information","业务往来信息"
"custom_membership_groups","会员组分系统会员组、自定义会员组以及特殊会员组。"
"system","系统"
"customize","自定义"
"special","特殊"
"integral_between","积分介于"
"automatically_selected_when_registration","默认会员组会在用户注册的时候自动选择。"
"send_time","发送时间"
"send_to","发送给"
"fill_the_other_account","请填写对方的帐号"
"only_need_relative_url","站内链接只需相对地址即可"
"gather_rules","分为4行，第一行表示采集地址，第二行表示链接规则，第三行表示标题规则，第四行表示内容规则"
"deal_the_same_title","是否处理相同标题："
"gather_url_and_rules","采集地址与规则："
"focus_headline","焦点头条"
"do_not_change_non_special_need","如非特殊需要，请勿改动"
"default_not_points","(默认为0，不需要任何积分)"
"view_points_required","查看所需积分："
"recharge","充值"
"total","合计"
"subtotal","小计"
"order_date","下单日期"
"to_install_or_uninstall_operation_tip","提示：请按照名和称显示标题选择安装或者卸载操作。"
"version","版本"
"out_station_submit","站外提交"
"no_verify_passing","审核不通过"
"moderated","等待审核"
"if_also_update_language_files","是否同时更新其他语言文件"
"ip_address","IP地址"
"sender","发送方"
"accepter","接收方"
"visit_permission","查看权限："
"if_need_check","是否需要审核："
"remind","提醒"
"empty_will_be_default_url","为空，则系统默认地址"
"generally_do_not_need_to_change","一般不需要改动"
"back","返回上一页"
"default_domestic_and_international_exhibitions","展会类型默认分为国内展会和国际展会。"
"reference_material","参考资料"
"company_direct","根据搜索，直接跳转到企业主页"
"only_english_letters","只能为英文"
"top_domain_support","顶级域名支持："
"sub_domain_support","二级域名支持："
"last_login_time","上次登录时间："
"last_ip_address","最后登陆IP地址"
"not_modify_not_complete","如果不想修改，则不必填写"
"balance","余额："
"business_hours","商业服务时间："
"free_post_trade","免费发布供求"
"comments_or_suggestions","意见或建议"
"date_format","日期格式："
"time_difference","时差："
"any_format","的任何一种格式，如“%Y-%m-%d” 表示"
"the_time_difference_between_local_time_and_gmt","当地时间与 GMT 的时差，GMT 时间是："
"static_optimization","静态优化"
"minimum","最小"
"maximum","最大"
"conditions","条件："
"ignore_all_the_following_conditions","全部(忽略以下所有条件)"
"the_users_are_not_logged_in_days","天内没有登录的用户"
"user_number_between","用户编号在"
"between","之间的"
"allow_the_release","允许发布"
"calling_code","调用代码"
"what_is_adzone","广告位是指一组广告的集合，你可以利用广告位代码调用指定的广告。"
"information","资讯"
"allow_the_opening_of","允许开通"
"the_default_length_of_service","默认服务期限"
"service_after_the_expiration","服务到期后变为"
"if_the_image_or_flash_the_system_will_automatically","如果是图片或者Flash，系统会自动获得"
"link_mode","链接方式"
"local_upload","本地上传"
"remote_url","远程地址"
"point_to_url","指向地址"
"empty_that_never_expires","为空表示永不过期"
"display_pictures_after_the_expiration_of","到期后显示图片"
"empty_will_not_display_any_media_after","为空表示到期后即不显示任何媒体"
"scale","规模"
"cycle_time","周期"
"organizers","主办单位"
"sponsor","承办单位"
"co_organizer","协办单位"
"supporters","支持单位"
"extension","扩展"
"data","数据"
"basic","基本"
"template_compilation","模板编译"
"measure_unit","计量单位"
"currency_unit","货币单位"
"prices_trend","价格走势"
"horizontal","横向"
"vertical","纵向"
"fill_in_the_sub_domain_name_suffix","如果开启，请填写二级域名后缀，例如.yourdomain.com（前面必须有.）"
"static_url","URL静态化："
"direct_access_to_url","直接访问转向地址："
"direct_access_to_url_description","网址直接访问指定转向地址，如果指定，则在用户通过输入你的域名访问网站时，会指向该页面；如果不指定，则默认为根目录下的index.php"
"enterprise_space_named","企业空间命名："
"register_file_name","注册文件名："
"free_post_trade_file_name","免费发布供求文件名："
"allow_new_user_registration","允许新用户注册："
"general","普通"
"invite","邀请"
"agreement","协议："
"new_user_registration_check","新用户注册必须审核："
"email_verification","Email验证"
"audit_verification","管理员审核"
"exclude_ip_address_list","禁止注册IP地址："
"shield","屏蔽："
"ip_registration_interval","同一IP注册间隔限制："
"units_per_hour","单位每小时，0为不限制"
"send_welcome_message","发送欢迎信息："
"mail_sent_by","邮件发送方式："
"built_in_mail_server","采用服务器内置的Mail服务(推荐此方式)"
"other_smtp_server","采用其他的SMTP服务"
"smtp_server_url","SMTP 服务器地址："
"smtp_server_port","SMTP 服务器端口："
"requires_authentication","SMTP 要求身份验证："
"sender_from","发信人邮件地址："
"sender_name","发信人称呼："
"smtp_authentication","SMTP 身份验证"
"unless_necessary_or_do_not_fill","除非需要，否则不用填写，如Gmail邮箱需要设置为ssl"
"test","测试"
"security_key","安全密钥："
"used_to_identify_the_site_as_a_unique_string","用于识别网站身份的唯一字符串"
"company_name_copyright_information","公司名称，将显示在一些版权信息声明中"
"service_hotline","客服热线："
"sales_hotline","销售热线："
"service_qq","客服QQ号码："
"service_msn","Messenger帐号："
"service_email","客服Email信箱："
"sell","供应"
"buy","求购"
"appear_in_the_navigation_bar","将显示在导航条以及网站介绍中"
"appear_in_the_page_title","该标题将显示在网页的标题中"
"sub_title","副标题："
"will_be_displayed_in_banner","该标语将显示在网站的宣传上"
"logo_url","Logo地址："
"no_http_means_local_url","Logo的地址，如果没有HTTP://，则为本地"
"guest_post_trade","游客发布供求信息"
"the_link_will_be_displayed_in_the_bottom_of_the_page","URL，将作为链接显示在页面底部, 必须以'/'结尾"
"icp_info","备案信息代码："
"icp_will_be_shown_at_the_footer","如果网站已备案，在此输入您的ICP 备案信息，它将显示在页面底部，如果没有请留空"
"consulting","咨询"
"suggestion","建议"
"complaints","投诉"
"Watermark","水印"
"text","文字"
"color","颜色"
"font","字体"
"small_picture","小图"
"big_picture","大图"
"middle_picture","中图"
"the_default_is_site_url","默认为网站地址"
"retained_original","保留原图"
"size","尺寸"
"main_page_static_cache","主要页面静态缓存："
"business_office_data","商务室数据"
"enterprise_spatial_data","企业空间数据"
"tag_data","标签数据"
"seconds_the_default_is_3600_seconds","单位为秒，默认是3600秒，即一小时，0表示不缓存"
"check_if_the_template_changes","是否检查模板变动："
"if_enabled_will_automatically_update_the_cache","如果开启，则当模板变动时，系统自动更新缓存，默认不检查"
"message","留言"
"system_information","系统信息"
"server_operating_system","服务器操作系统："
"web_server","WEB 服务器："
"php_version","PHP 版本："
"program_version_and_encoding","程序版本及编码："
"installation_date","安装日期："
"php_gd_support","GD库支持："
"today_is","今天是："
"last_login_ip","上次登录IP地址："
"mysql_version","MYSQL 版本："
"about","关于"
"check_update","检查更新"
"used","已用"
"safety_tips","安全提示"
"please_keep","请妥善保管"
"site_key","网站密钥"
"for_more_information_go_to_set","如需重新设置请到"
"security_prompt","安全验证"
"re_cover","重新覆盖。"
"if_you_want_to_continue_to_enable","如果要继续启用"
"update_reminder","更新提醒"
"please_reset","请重新"
"set_reminder","设置提醒"
"and_refresh_the_page","并刷新页面。"
"view_the_calling_code","查看调用代码"
"click_copy_to_clipboard","点击复制到剪贴板"
"work_area","工作地点"
"job_description","职位说明"
"gender_require","性别要求"
"number_of_people","招聘人数"
"academic_requirements","学历要求"
"age_requirement","年龄要求"
"wages_level","薪资水平"
"nature_of_work","工作性质"
"expires_approach","过期后处理方式："
"top_time_to_spend_points","置顶一次花费积分："
"resent_the_minimum_number_of_days","允许重发的最小天数："
"update_interval","允许更新的时间间隔："
"data_filtering","分类首页数据过滤："
"filtering_the_same_user_information","如果开启，则在模块首页会过滤同一用户发布的信息，以便显示更多同类的其他用户发布的信息"
"you_can_use_the_tag_call","你可以使用标签调用%s数据"
"if_invisible","是否隐藏"
"buyer","采购商"
"seller","供应商"
"gd_picture_ok","支持%s"
"show_name","显示名称："
"show_name_n","显示名称"
"wbmp_ok","支持手机Wap浏览图片BMP"
"without_this_ext","不支持此扩展"
"live_times","不限,1周,1个月,3个月,6个月,1年,5年"
"your_first_login","今天您第一次登录"
"or","或"
"other_templet","其他模板"
"welcome_to_cp","欢迎进入%s"
"setting_offer_expired","继续显示，不处理|继续显示，但提示过期|隐藏，但允许查看|隐藏，同时提示过期"
"templet_style","模板风格"
"setup","启用"
"manage","管理"
"no_limit","不限"
"edit","编辑"
"delete","删除"
"preview","预览"
"click_preview","点击预览"
"install","安装"
"search","查询"
"keywords","关键字："
"select_switch","全选/全不选"
"directory","所在目录"
"author","作者"
"screenshot","图例"
"action","操作"
"templet_name","模板名称"
"data_zone","数据区"
"no_datas","没有符合条件的记录"
"alert_no","不再提醒"
"alert_after_week","一周后提醒"
"close","关闭"
"use_other_account","用其他帐号重新登录"
"off","注销"
"set_your_personal_info","设置个人信息"
"account_set","账户设置"
"back_to_homepage","返回网站首页"
"browse_homepage","查看站点"
"refresh_the_page","刷新工作区页面"
"refresh","刷新页面"
"control_login","登录%s"
"pls_input_username","请输入用户名"
"pls_input_passwd","请输入密码"
"pls_input_authcode","请输入验证码，不区分大小写"
"phpb2b_info","<span>友邻B2B</span> 是一个采用PHP和 <span>MySQL</span> 数据库构建的高效行业电子商务网站管理系统！"
"cp_login_first","请您在这里登录"
"meet_with_more_phpb2b_users","想和更多的人一起交流PHPB2B使用经验吗？"
"cp_username_n","用户名:"
"cp_username","用户名"
"cp_passwd","密　码:"
"cp_capt","验证码:"
"refresh_capt","如果看不清数字或字母?请点一下换一个!"
"cp_forget_passwd","忘记密码？"
"cp_login","登陆"
"return_homepage","返回首页"
"feed_back","反馈"
"save_and_pub","保存并发布"
"save_draft","保存草稿"
"management","管理"
"add_or_edit","添加/编辑"
"action_zone","操作区"
"title_keywords","标题关键字"
"trade_management","信息管理"
"eve_page_display","每页显示"
"trade_refresh","重发"
"set_status","设置状态"
"check_invalid","审核无效"
"check_passed","审核通过"
"set_urgent","设为紧急"
"expire_date","到期时间"
"checked_status","审核状态"
"setting","设置"
"sorts","分类"
"setting_global","全局"
"tags","标签库"
"if_valid","是否有效："
"if_valid_n","是否有效"
"types","类型"
"adzone_type","广告位类型："
"multi_seperate_by_quot","（多个请用&quot,&quot号隔开）"
"multi_seperate_by_quot_or_space","（多个请用&quot,&quot号或者空格隔开）"
"save_setting","保存设置"
"basic_setting","基本设置"
"uninstall","卸载"
"naming_n","名称："
"naming","名称"
"description_n","描述："
"user_center","会员中心"
"updating","更新"
"clearing","清理"
"update_cache","更新缓存"
"throw_up","提升"
"throw_down","下沉"
"in_area","所在地区："
"in_industry","行业类别"
"db_backup","备份"
"db_restore","还原"
"db_upgrade","升级"
"cp_view","查看"
"member","会员"
"topic_news","专题"
"set_headline","设为头条"
"administrator","管理员"
"record_amount","数量"
"the_title","标题"
"title","标题"
"member_name","会员名"
"picture","图片："
"pls_select","请选择"
"on_sending","正在发送"
"site_desc","站点描述"
"site_desc_n","网站描述："
"site_desc_and_show","关于你网站的简单的描述信息，将会显示在相关网站介绍处"
"config_your_info","轻松管理和配置各种信息资源"
"manage_your_ads","发布在线广告，为您的网站获得盈利"
"set_site_secure","设置网站安全验证，过滤无效信息"
"template_name","模板名称："
"if_default","是否默认："
"default","默认"
"click_ctrl_n_select","(按住Ctrl键可多选, 如果不想改动请不要选择)"
"type_sort","类别："
"display_order","显示顺序："
"feed_revert","回复了"
"feed_problem","问题"
"title_or_keywords","标题或关键字"
"do_not_close_when_doing","正在处理中，请勿关闭窗口..."
"attachments","附件："
"n_grade","级分类"
"category_keyword","分类名称关键字"
"show_status","显示状态"
"show_it","显示"
"hide_it","隐藏"
"grade_sample","分级示例"
"if_want_add_click_enter","如果需要添加新分类，请按回车并换行"
"caches","缓存"
"position","位置"
"if_online","是否上线"
"set_offline","下线"
"set_online","上线"
"ad_show_title","广告显示文字"
"full_please","请补充"
"content_digest","内容摘要"
"page_display_order","页面次序"
"old_password","原密码："
"new_password","新密码："
"re_input_new_password","再输一次新密码："
"change_password","修改密码"
"simple_name","缩略名："
"link_url","链接地址："
"detailed_contents","详细内容："
"all_options","所有选项"
"labels","标签："
"label","标签"
"type_name","类型名称"
"var_name","变量值"
"param_type","所属类型："
"param_value","参数值："
"password_edit","密码修改"
"add_new_type","添加新类型"
"make_javascript_code","生成JS代码"
"add_ads","添加广告"
"one_line_one_category","一行表示一个分类："
"press_enter_add_new","如果需要添加新分类，请按回车并换行"
