"action_successfully","操作成功"
"success","操作成功"
"thanks_for_advise","感谢您的参与"
"action_failed","操作失败"
"visitor_forbid","禁止游客发布信息"
user_feedback,用户评论,
companyname_has_exists,%s已经存在,
undefined_operation,未定义操作,
aborted_clients,中止,
access_denied,访问被拒绝,
file_write_error,文件写入失败,
token_error,校验码有误,
file_open_error,文件打开出错,
action_complete,操作完成,
record_not_exists,你要查询的数据不存在,
company_checking,企业信息正在审核中,
congratulate,"恭喜,操作成功",
file_not_exists,文件<i>%s</i>不存在,
sys_error,系统错误,
no_perm,您没有足够的权限,
invalid_capt,"<center>抱歉，验证码输入有误，请<a href='javascript:history.go(-1)'>返回</a>并重新输入。</center>",
pls_reset_passwd,请及时修改您的密码,
email_sended_success,邮件发送成功,
email_sended_false,邮件发送失败,
wait_for_check,提交成功，请等待审核,
under_checking,%s正在审核中,
order_submited,订单提交成功，我们会尽快联系您,
db_conn_error,数据库链接出错：%s,
db_conn_error_no,错误编号：%s,
function_disable,该功能暂不能使用,
charge_check,充值金额必须为数字,
login_faild,登陆失败,
login_pwd_wrong,登陆密码错误,
member_checking,用户审核中,
login_failed,登陆失败，请重新<a href='logging.php'>登陆</a>,
please_input_username,请输入用户名,
please_input_right_username,请输入正确的用户名,
please_input_password,请输入密码,
please_input_email,请输入正确的Email,
member_not_exists,用户不存在,
member_has_exists,用户名已经存在,
login_pwd_false,登录密码错误,
please_login_first,请先<a href='logging.php'>登录</a>,
wrong_validate,验证码输入有误,
invite_code_error,邀请码有误,
actived_and_login,激活成功，请您继续<a href='logging.php'>登陆</a>。,
reset_and_login,密码设置成功，请您继续<a href='logging.php'>登陆</a>。,
register_closed,网站关闭了注册,
invalid_username,用户名不合法,
not_allowed_forbid_words,包含有允许注册的词语,
email_exists,Email地址已经存在,
not_enough_points,查看该信息需要%d积分，您的积分不够,
please_input_companyname,请输入正确的公司名称,
please_input_companydesc,请输入必要的公司介绍,
please_reinstall_program,请重新安装程序包,
save_failed,数据保存失败,
data_not_exists,该信息不存在,
system_error,系统错误,
pls_active_your_account,请到您的邮箱中收取邮件，并按照邮件中的提示，激活您的账户<br>或者点击<a href='%s' style='text-decoration: underline;'><img src='templates/default/images/gongqiu03.jpg' />重新发送</a>激活邮件,
pls_wait_for_check,请等待管理员审核,
invalid_submit,非法的提交信息,
unvalid_product,该产品已下架,
thanks_for_adding_market,感谢您提交的市场库信息，请等待审核,
ads_on_sale,广告位招租,
ads_no,该广告位还没有任何广告,
has_been_expired,对不起，%s（已过期）,
semilar_offer_post,相似的标题已经存在，请修改后再提交,
get_passwd_false,取回密码失败,
email_send_false,"邮件发送失败,错误信息:%s",
getpasswd_email_sended,邮件已发送，请您收取后按照提示重置密码。,
wrong_email_data,错误的Email地址,
wrong_email_format,Email地址格式有误,
old_pwd_error,原密码输入有误,
auth_expired,验证码已过期,
invalid_request,无效的请求,
company_center,公司库,
news_info_not_exists,编号为(#%s)的资讯不存在,
info_center,资讯中心,
no_data_deleted,没有数据被删除,
record_status,已经%s,
wait_apply,请等待审核,
invalid_datetime,无效的日期,
invalid_user,无效用户,
sth_wrong_occured,出现未知错误,
submit_invalid,提交数据时发生错误,
msg_wait_check,请等待审核,
msg_wait_success,发布成功,
link_added,添加商友成功,
pls_del_first,请先删除该分类下产品,
one_day_max,您已达到每天发布的最大数量,
post_max,您已达到发布的最大数量,
allow_refresh_day,您已达到每天刷新的最大数量,
re_complete_corp,请先完善企业基本资料,
undefined_error,出现未知错误,
feedback_already_submit,留言已提交,
no_company_perm,非企业用户不能参展,
been_favorited,您已经收藏过该信息,
company_checking_or_invalid,企业信息不完善或者正在审核中,
company_info_tip,企业信息%s,
invalid_space_name,该企业还未开通商铺,
invalid_password,前后密码输入不一致,
format_not_support,文件格式不支持,
format_not_same,文件格式不一致,
file_too_big,上传的文件太大或者格式不正确,
water_image_not_exists,水印图片不存在,
tpl_installed_ok,模板导入成功,
login_false,登陆失败,
tpl_not_exists,模板文件不存在,
file_not_writeable,文件不可写入,
db_restored,数据库还原成功,
admin_runquery_forbidden,管理员禁止了此功能，请修改configs/config.inc.php开启此功能,
open_passport_support_first,请先启用通行证功能,
watermark_word_error,水印文字颜色格式不正确,
yet_some_ads,该广告位中还有一些广告，请先删除！,
plugin_installed_and_config,插件安装成功，点击进行设置,
account_expired,管理员帐号已过期,
license_not_exists,LICENSE文件不存在,
title_cant_be_empty,标题不能为空,
content_cant_be_empty,内容不能为空,
pls_complete_company_info,"请<a href=""company.php"">点击这里完善</a>您的企业基本资料",
have_no_perm,你没有%s的权限,
after_check_company_visit,请等待审核后再访问%s,
space_name_exists,空间名称已经存在，请重新输入,
plugin_not_exists,插件不存在,
user_not_exists_or_deleted,"用户不存在,或者被删除",
passwd_error,密码错误,
username_not_level,用户名不合法,
username_not_legal,包含未允许注册的词语,
email_not_allowed,Email 不允许注册,
email_hasbeen_used,该 Email 已经被注册,
write_file_error_and_retry,文件写入失败，请检查后再试,
pls_enter_your_advise,请输入您的意见或建议后再提交试试。,
cant_del_founder,除非你取消网站，否则不能删除创始人管理员帐号。,
not_enough_point,你的积分不够此次操作,
one_time_within_24_h,24小时内只能置顶一次,
only_one_time_within_hours,在指定的小时内只能更新一次,
special_name_not_exists,指定的专题不存在,
pls_input_product_name,请输入要查询的产品名称,
product_quote_not_exists,不存在该产品的任何行情信息,
cached_and_refresh,缓存已更新，请点击重新访问,
login_success,登陆成功,
login_wrong_passwd,通行证：密码错误,
logout_success,退出成功,
pp_elegal_username,通行证：用户名不合法,
pp_not_allowed_words,通行证：包含不允许注册的词语,
pp_username_exist,通行证：用户名已经存在,
pp_email_not_allowed,通行证：Email 不允许注册在,
pp_email_registerd,通行证：该 Email 已经被注册,
trade_no_error,订单编号有误,
pay_success,恭喜您，付款成功！,
pay_error,很抱歉，付款失败！,
"error_occured","<a href=""%s"">%s</a> 已经将此出错信息详细记录,由此给您带来的访问不便我们深感歉意。"
backup_and_wait,"请不要关闭窗口，正在备份第-%s-卷数据库文件，如果停住不动，你可以点击这里<br><img src=images/loading.gif />",
